timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.holidays,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"06:14 (GMT)","08:25 (GMT)","12:13 (GMT)","13:44 (GMT)","16:01 (GMT)","16:01 (GMT)","18:04 (GMT)","06:04 (GMT)","00:13 (GMT)","21:29 (GMT)","02:57 (GMT)","01 Jan 2025",1735722061,01-01-2025,DD-MM-YYYY,01,Wednesday,1,January,2025,AD,"Anno Domini",,01-07-1446,DD-MM-YYYY,1,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Beginning of the holy months",HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:25 (GMT)","12:13 (GMT)","13:45 (GMT)","16:02 (GMT)","16:02 (GMT)","18:05 (GMT)","06:04 (GMT)","00:13 (GMT)","21:29 (GMT)","02:57 (GMT)","02 Jan 2025",1735808461,02-01-2025,DD-MM-YYYY,02,Thursday,1,January,2025,AD,"Anno Domini",,02-07-1446,DD-MM-YYYY,2,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:24 (GMT)","12:13 (GMT)","13:46 (GMT)","16:03 (GMT)","16:03 (GMT)","18:06 (GMT)","06:04 (GMT)","00:14 (GMT)","21:30 (GMT)","02:57 (GMT)","03 Jan 2025",1735894861,03-01-2025,DD-MM-YYYY,03,Friday,1,January,2025,AD,"Anno Domini",,03-07-1446,DD-MM-YYYY,3,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",Lailat-ul-Ragha'ib,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:24 (GMT)","12:14 (GMT)","13:47 (GMT)","16:04 (GMT)","16:04 (GMT)","18:07 (GMT)","06:04 (GMT)","00:14 (GMT)","21:31 (GMT)","02:57 (GMT)","04 Jan 2025",1735981261,04-01-2025,DD-MM-YYYY,04,Saturday,1,January,2025,AD,"Anno Domini",,04-07-1446,DD-MM-YYYY,4,"Al Sabt",السبت,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:24 (GMT)","12:14 (GMT)","13:48 (GMT)","16:06 (GMT)","16:06 (GMT)","18:08 (GMT)","06:04 (GMT)","00:15 (GMT)","21:32 (GMT)","02:58 (GMT)","05 Jan 2025",1736067661,05-01-2025,DD-MM-YYYY,05,Sunday,1,January,2025,AD,"Anno Domini",,05-07-1446,DD-MM-YYYY,5,"Al Ahad",الاحد,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:23 (GMT)","12:15 (GMT)","13:49 (GMT)","16:07 (GMT)","16:07 (GMT)","18:09 (GMT)","06:04 (GMT)","00:15 (GMT)","21:32 (GMT)","02:58 (GMT)","06 Jan 2025",1736154061,06-01-2025,DD-MM-YYYY,06,Monday,1,January,2025,AD,"Anno Domini",,06-07-1446,DD-MM-YYYY,6,"Al Athnayn",الاثنين,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:14 (GMT)","08:23 (GMT)","12:15 (GMT)","13:50 (GMT)","16:08 (GMT)","16:08 (GMT)","18:10 (GMT)","06:04 (GMT)","00:15 (GMT)","21:33 (GMT)","02:58 (GMT)","07 Jan 2025",1736240461,07-01-2025,DD-MM-YYYY,07,Tuesday,1,January,2025,AD,"Anno Domini",,07-07-1446,DD-MM-YYYY,7,"Al Thalaata",الثلاثاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (GMT)","08:22 (GMT)","12:16 (GMT)","13:51 (GMT)","16:10 (GMT)","16:10 (GMT)","18:12 (GMT)","06:03 (GMT)","00:16 (GMT)","21:34 (GMT)","02:58 (GMT)","08 Jan 2025",1736326861,08-01-2025,DD-MM-YYYY,08,Wednesday,1,January,2025,AD,"Anno Domini",,08-07-1446,DD-MM-YYYY,8,"Al Arba'a",الاربعاء,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae","Urs of Mawlāna Shaykh Nāzim al-Haqqāni (ق)",HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (GMT)","08:21 (GMT)","12:16 (GMT)","13:52 (GMT)","16:11 (GMT)","16:11 (GMT)","18:13 (GMT)","06:03 (GMT)","00:16 (GMT)","21:35 (GMT)","02:58 (GMT)","09 Jan 2025",1736413261,09-01-2025,DD-MM-YYYY,09,Thursday,1,January,2025,AD,"Anno Domini",,09-07-1446,DD-MM-YYYY,9,"Al Khamees",الخميس,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"06:13 (GMT)","08:21 (GMT)","12:16 (GMT)","13:54 (GMT)","16:13 (GMT)","16:13 (GMT)","18:14 (GMT)","06:03 (GMT)","00:17 (GMT)","21:35 (GMT)","02:58 (GMT)","10 Jan 2025",1736499661,10-01-2025,DD-MM-YYYY,10,Friday,1,January,2025,AD,"Anno Domini",,10-07-1446,DD-MM-YYYY,10,"Al Juma'a",الجمعة,7,Rajab,رَجَب,30,1446,AH,"Anno Hegirae",,HJCoSA,8.8888888,7.7777777,Europe/London,3,"Muslim World League",18,17,51.5194682,-0.1360365,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
